News,Tag,NewsLink,Extracted_tokens
Italy has surrendered to the Coronavirus pandemic as all the measures to control Covid-19 have been exhausted.,FALSE,https://www.poynter.org/?ifcn_misinformation=italy-has-surrendered-to-the-coronavirus-pandemic-as-all-the-measures-to-control-covid-19-have-been-exhausted,"['measur', 'italy', 'surrendered', 'control', 'exhausted']"
Donald Trump attending the recital of Quran verses to fight coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=donald-trump-attending-the-recital-of-quran-verses-to-fight-coronavirus,"['vers', 'donald', 'trump', 'attending', 'quran', 'fight']"
Coronavirus has been found in crab legs.,FALSE,https://www.poynter.org/?ifcn_misinformation=coronavirus-has-been-found-in-crab-legs,"['leg', 'found', 'crab']"
Claim that Saint Corona has always been a patron saint against epidemics.,FALSE,https://www.poynter.org/?ifcn_misinformation=claim-that-saint-corona-has-always-been-a-patron-saint-against-epidemics,"['epidem', 'saint', 'saint']"
Amitabh Bachchan gave 500 million rupees to the Mumbai government to fight the coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=amitabh-bachchan-gave-500-million-rupees-to-the-mumbai-government-to-fight-the-coronavirus,"['rupe', 'amitabh', 'bachchan', 'gave', 'government', 'fight']"
"Two articles claiming that iconic coffee chain Tim Hortons will close all Canada franchises on March 30, 2020 because of the novel coronavirus were shared more than 150,000 times on Facebook.",FALSE,https://www.poynter.org/?ifcn_misinformation=two-articles-claiming-that-iconic-coffee-chain-tim-hortons-will-close-all-canada-franchises-on-march-30-2020-because-of-the-novel-coronavirus-were-shared-more-than-150000-times-on-facebook,"['articl', 'time', 'coffee', 'chain', 'tim', 'hortons', 'canada', 'march', 'novel', 'shared', 'facebook', 'franchise']"
"Images showing vaccines for Coronavirus have already been discovered, were patented and will be readily available.",FALSE,https://www.poynter.org/?ifcn_misinformation=images-showing-vaccines-for-coronavirus-have-already-been-discovered-were-patented-and-will-be-readily-available,"['imag', 'vaccin', 'showing', 'discovered']"
The Netflix Korean drama My secret terrius predicted the Coronavirus outbreak in 2018.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-netflix-korean-drama-my-secret-terrius-predicted-the-coronavirus-outbreak-in-2018,"['netflix', 'korean', 'drama', 'terrius', 'predicted', 'outbreak']"
False measures of coronavirus in Bogota.,FALSE,https://www.poynter.org/?ifcn_misinformation=false-measures-of-coronavirus-in-bogota,['measur']
Bollywood superstar Aamir Khan donated Rs. 250 crore to tackle the novel coronavirus outbreak.,FALSE,https://www.poynter.org/?ifcn_misinformation=bollywood-superstar-aamir-khan-donated-rs-250-crore-to-tackle-the-novel-coronavirus-outbreak,"['bollywood', 'superstar', 'aamir', 'khan', 'donated', 'rs', 'crore', 'tackle', 'novel', 'outbreak']"
A photo with a message of a doctor crying saying that the coronavirus is stronger than science.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-photo-with-a-message-of-a-doctor-crying-saying-that-the-coronavirus-is-stronger-than-science,"['photo', 'doctor', 'crying', 'science']"
Hot tubes can help to prevent the coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=hot-tubes-can-help-to-prevent-the-coronavirus,"['tube', 'hot', 'prevent']"
A video claiming to be of Canadian Prime Minister Justin Trudeau’s wife Sophie Grégoire Trudeau who is infected with Coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-claiming-to-be-of-canadian-prime-minister-justin-trudeaus-wife-sophie-gregoire-trudeau-who-is-infected-with-coronavirus,"['prime', 'minister', 'justin', 'trudeau', 'wife', 'sophie', 'grégoire', 'trudeau', 'infected']"
A Matt Damon movie trailer that predicts coronavirus pandemy,FALSE,https://www.poynter.org/?ifcn_misinformation=a-matt-damon-movie-trailer-that-predicts-coronavirus-pandemy,"['matt', 'damon', 'movie', 'trailer', 'pandemy', 'predicts']"
An image claiming that Vladimir Putin said that United States created coronavirus as a biological weapon.,FALSE,https://www.poynter.org/?ifcn_misinformation=an-image-claiming-that-vladimir-putin-said-that-united-states-created-coronavirus-as-a-biological-weapon,"['state', 'image', 'vladimir', 'putin', 'said', 'united', 'created', 'weapon']"
An audio that says that MMS or sodium chlorite cures the coronavirus in 24 hours.,FALSE,https://www.poynter.org/?ifcn_misinformation=an-audio-that-says-that-mms-or-sodium-chlorite-cures-the-coronavirus-in-24-hours,"['hour', 'mms', 'sodium', 'chlorite', 'say', 'cure']"
Viral WhatsApp audio message claims President Buhari and his Chief of Staff flew out of the country for coronavirus treatment.,FALSE,https://www.poynter.org/?ifcn_misinformation=viral-whatsapp-audio-message-claims-president-buhari-and-his-chief-of-staff-flew-out-of-the-country-for-coronavirus-treatment,"['president', 'buhari', 'chief', 'staff', 'flew', 'country', 'treatment']"
Italian President said that Italy has surrendered to the Coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=italian-president-said-that-italy-has-surrendered-to-the-coronavirus,"['president', 'said', 'italy', 'surrendered']"
Images of the medical facility shared with the claim that the Indian Army set up a 1000-bed hospital in Rajasthan amidst Coronavirus Pandemic.,FALSE,https://www.poynter.org/?ifcn_misinformation=images-of-the-medical-facility-shared-with-the-claim-that-the-indian-army-set-up-a-1000-bed-hospital-in-rajasthan-amidst-coronavirus-pandemic,"['images', 'facility', 'shared', 'army', 'set', 'hospital', 'rajasthan', 'pandemic', 'amidst']"
"A herd of deer shared as them flocking out in Tamil Nadu, India due to the lockdown of the Coronavirus",FALSE,https://www.poynter.org/?ifcn_misinformation=a-herd-of-deer-shared-as-them-flocking-out-in-tamil-nadu-india-due-to-the-lockdown-of-the-coronavirus,"['herd', 'deer', 'shared', 'flocking', 'tamil', 'nadu', 'india']"
An audio clip is circulating on Whatsapp claiming that Nagpur (Second Capital of Indian state Maharashtra) has tested 59 positive coronavirus cases including 3 doctors.,FALSE,https://www.poynter.org/?ifcn_misinformation=an-audio-clip-is-circulating-on-whatsapp-claiming-that-nagpur-second-capital-of-indian-state-maharashtra-has-tested-59-positive-coronavirus-cases-including-3-doctors,"['case', 'doctor', 'clip', 'nagpur', 'second', 'capital', 'indian', 'state', 'maharashtra', 'tested', 'including']"
Netflix and Amazon are offering free subscription amid the coronavirus outbreak.,FALSE,https://www.poynter.org/?ifcn_misinformation=netflix-and-amazon-are-offering-free-subscription-amid-the-coronavirus-outbreak,"['netflix', 'amazon', 'offering', 'subscription', 'outbreak']"
Chinese Government Accuses Indonesia of Spreading Corona Covid-19 Virus,Misleading,https://www.poynter.org/?ifcn_misinformation=chinese-government-accuses-indonesia-of-spreading-corona-covid-19-virus,"['government', 'accuses', 'indonesia', 'spreading', 'virus']"
Doctor Li Wenliang and Hospital in China Suggest Drinking Tea for Corona Patients,FALSE,https://www.poynter.org/?ifcn_misinformation=doctor-li-wenliang-and-hospital-in-china-suggest-drinking-tea-for-corona-patients,"['patient', 'doctor', 'li', 'wenliang', 'hospital', 'china', 'suggest', 'drinking', 'tea']"
"Finally India got its Coronavirus Dashboard. This is the official website for CORONA updates. This website is being updated every 4 hrs. You can scroll down for more details, you can know more about coronavirus outbreak in your state by placing your finger on your state on the map.",FALSE,https://www.poynter.org/?ifcn_misinformation=finally-india-got-its-coronavirus-dashboard-this-is-the-official-website-for-corona-updates-this-website-is-being-updated-every-4-hrs-you-can-scroll-down-for-more-details-you-can-know-more-about-c,"['detail', 'india', 'got', 'dashboard', 'website', 'updated', 'hrs', 'state', 'placing', 'finger', 'state', 'map', 'update']"
A letter supposedly written by Bill Gates where he says that the coronavirus is the corrector of humanity.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-letter-supposedly-written-by-bill-gates-where-he-says-that-the-coronavirus-is-the-corrector-of-humanity,"['letter', 'written', 'bill', 'gates', 'corrector', 'humanity', 'say']"
"First death from coronavirus in Barranquilla, Columbia.",FALSE,https://www.poynter.org/?ifcn_misinformation=first-death-from-coronavirus-in-barranquilla-columbia,"['death', 'barranquilla', 'columbia']"
An Indian politician claimed that the strain of coronavirus in India is less virulent mutation.,MISLEADING,https://www.poynter.org/?ifcn_misinformation=an-indian-politician-claimed-that-the-strain-of-coronavirus-in-india-is-less-virulent-mutation,"['politician', 'claimed', 'india', 'mutation']"
A vaccine for coronavirus has been found.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-vaccine-for-coronavirus-has-been-found,"['vaccine', 'found']"
You can get coronavirus from makeup and creams.,FALSE,https://www.poynter.org/?ifcn_misinformation=you-can-get-coronavirus-from-makeup-and-creams,['cream']
Coronavirus remains on the asphalt for 9 days.,FALSE,https://www.poynter.org/?ifcn_misinformation=coronavirus-remains-on-the-asphalt-for-9-days,"['day', 'remains']"
Cigarette smoke spreads coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=cigarette-smoke-spreads-coronavirus,"['spread', 'cigarette', 'smoke']"
Says to leave objects in the sun to avoid contracting the coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=says-to-leave-objects-in-the-sun-to-avoid-contracting-the-coronavirus,"['say', 'object', 'contracting']"
Mosquitoes can spread the coronavirus?,FALSE,https://www.poynter.org/?ifcn_misinformation=mosquitoes-can-spread-the-coronavirus,"['mosquito', 'spread']"
An image of a couple who are claimed to be doctors and have lost their lives due to Coronavirus,FALSE,https://www.poynter.org/?ifcn_misinformation=an-image-of-a-couple-who-are-claimed-to-be-doctors-and-have-lost-their-lives-due-to-coronavirus,"['doctor', 'live', 'image', 'couple', 'claimed', 'lost']"
Countries that use nivaquine (chloroquine) against malaria are not affected by coronavirus.,MOSTLY FALSE,https://www.poynter.org/?ifcn_misinformation=countries-that-use-nivaquine-chloroquine-against-malaria-are-not-affected-by-coronavirus,"['countri', 'chloroquine', 'malaria', 'affected']"
The UN is providing food aid to South American countries due to the coronavirus pandemic.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-un-is-providing-food-aid-to-south-american-countries-due-to-the-coronavirus-pandemic,"['countri', 'un', 'providing', 'food', 'aid', 'south']"
Chlorine dioxide cures the coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=chlorine-dioxide-cures-the-coronavirus,"['cure', 'chlorine', 'dioxide']"
Prime Minister of Mexico with tears in his eyes says to all the people: We have lost the battle against the coronavirus.,partially false,https://www.poynter.org/?ifcn_misinformation=prime-minister-of-mexico-with-tears-in-his-eyes-says-to-all-the-people-we-have-lost-the-battle-against-the-coronavirus,"['tear', 'peopl', 'prime', 'minister', 'mexico', 'lost', 'battle', 'say']"
Paraguay’s Ministry of Health is not following up people who are related to confirmed cases of coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=paraguays-ministry-of-health-is-not-following-up-people-who-are-related-to-confirmed-cases-of-coronavirus,"['peopl', 'case', 'paraguay', 'ministry', 'health', 'following', 'related']"
Indian Singer Kanika Kapoor met Prince Charles after which he tested positive for coronavirus.,False,https://www.poynter.org/?ifcn_misinformation=indian-singer-kanika-kapoor-met-prince-charles-after-which-he-tested-positive-for-coronavirus,"['singer', 'kanika', 'kapoor', 'met', 'prince', 'charles', 'tested']"
Italian doctor couple disgnosed with coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=italian-doctor-couple-disgnosed-with-coronavirus,"['doctor', 'couple', 'disgnosed']"
New vaccine can help cure coronavirus in three hours.,FALSE,https://www.poynter.org/?ifcn_misinformation=new-vaccine-can-help-cure-coronavirus-in-three-hours,"['hour', 'new', 'vaccine', 'help', 'cure']"
"A video has been shared thousands of times in multiple posts on Facebook which claim it shows a woman who was detained by police in Australia after she tested positive for the novel coronavirus, COVID-19, and was filmed spitting at a supermarket in a Sydney suburb.",FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-has-been-shared-thousands-of-times-in-multiple-posts-on-facebook-which-claim-it-shows-a-woman-who-was-detained-by-police-in-australia-after-she-tested-positive-for-the-novel-coronavirus-covid,"['thousand', 'time', 'polic', 'shared', 'facebook', 'woman', 'detained', 'australia', 'tested', 'novel', 'filmed', 'spitting', 'supermarket', 'sydney', 'suburb', 'show']"
France found a vaccine against coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=france-found-a-vaccine-against-coronavirus,"['france', 'found', 'vaccine']"
"Pakistani doctor, Usman Riaz speaks about coronavirus before his death.",FALSE,https://www.poynter.org/?ifcn_misinformation=pakistani-doctor-usman-riaz-speaks-about-coronavirus-before-his-death,"['pakistani', 'doctor', 'usman', 'riaz', 'death', 'speaks']"
A screenshot of a purported news broadcast showing a lion in the street and reporting that Russia has deployed hundreds of lions to maintain order during the novel coronavirus lockdown has been shared tens of thousands of times on Facebook and Twitter.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-screenshot-of-a-purported-news-broadcast-showing-a-lion-in-the-street-and-reporting-that-russia-has-deployed-hundreds-of-lions-to-maintain-order-during-the-novel-coronavirus-lockdown-has-been-shared,"['hundr', 'lion', 'ten', 'thousand', 'time', 'screenshot', 'purported', 'news', 'broadcast', 'showing', 'street', 'reporting', 'russia', 'deployed', 'order', 'shared', 'facebook', 'twitter']"
Gargling with hot water cures Coronavirus says a doctor from Mumbai’s COVID-19 hospital.,FALSE,https://www.poynter.org/?ifcn_misinformation=gargling-with-hot-water-cures-coronavirus-says-a-doctor-from-mumbais-covid-19-hospital,"['cure', 'gargling', 'water', 'doctor', 'mumbai', 'hospital', 'say']"
"An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",FALSE,https://www.poynter.org/?ifcn_misinformation=an-image-is-being-shared-on-social-media-claiming-this-italian-doctor-couple-in-the-picture-worked-day-and-night-and-saved-the-lives-of-134-patients-but-on-the-eighth-day-they-caught-coronavirus-an,"['live', 'patient', 'image', 'shared', 'doctor', 'couple', 'picture', 'worked', 'day', 'night', 'saved', 'day', 'caught', 'died', 'hour']"
A video allegedly showing Canadian Prime Minister Justin Trudeau’s wife in a hospital bed urging people to stay home to avoid ending up seriously ill with the novel coronavirus has been shared thousands of times on Facebook and Twitter.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-allegedly-showing-canadian-prime-minister-justin-trudeaus-wife-in-a-hospital-bed-urging-people-to-stay-home-to-avoid-ending-up-seriously-ill-with-the-novel-coronavirus-has-been-shared,"['peopl', 'thousand', 'time', 'showing', 'prime', 'minister', 'justin', 'trudeau', 'wife', 'hospital', 'bed', 'ending', 'ill', 'shared', 'facebook', 'twitter']"
There is no ‘coronavirus’. The Chinese were secretly working on a biological agent that was supposed to make protesters docile and obedient.,FALSE,https://www.poynter.org/?ifcn_misinformation=there-is-no-coronavirus-the-chinese-were-secretly-working-on-a-biological-agent-that-was-supposed-to-make-protesters-docile-and-obedient,"['chines', 'protest', 'working', 'agent', 'supposed', 'make', 'obedient']"
"Tens of thousands of people who are victims of the coronavirus have died in China, and this is proven by maps of Wuhan released online that show a massive burning of corpses.",FALSE,https://www.poynter.org/?ifcn_misinformation=tens-of-thousands-of-people-who-are-victims-of-the-coronavirus-have-died-in-china-and-this-is-proven-by-maps-of-wuhan-released-online-that-show-a-massive-burning-of-corpses,"['ten', 'thousand', 'peopl', 'victim', 'corps', 'died', 'china', 'wuhan', 'released', 'show', 'burning', 'map']"
Hospitals in Madrid are removing artificial respirators from those admitted with coronaviruses older than 65 years for use by younger patients.,FALSE,https://www.poynter.org/?ifcn_misinformation=hospitals-in-madrid-are-removing-artificial-respirators-from-those-admitted-with-coronaviruses-older-than-65-years-for-use-by-younger-patients,"['hospit', 'respir', 'year', 'patient', 'madrid', 'removing', 'admitted']"
Peeled Onions Can Suck Corona Virus,FALSE,https://www.poynter.org/?ifcn_misinformation=peeled-onions-can-suck-corona-virus,"['onion', 'peeled', 'suck', 'virus']"
Videos of Passenger Plane from Italy to Ethiopia which are All Positive Corona,Misleading,https://www.poynter.org/?ifcn_misinformation=videos-of-passenger-plane-from-italy-to-ethiopia-which-are-all-positive-corona,"['videos', 'passenger', 'plane', 'italy', 'ethiopia', 'positive']"
The bodies of people infected with coronavirus are lying on the road of Italy. No one is carrying them due to the risk of infection.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-bodies-of-people-infected-with-coronavirus-are-lying-on-the-road-of-italy-no-one-is-carrying-them-due-to-the-risk-of-infection,"['bodi', 'peopl', 'infected', 'lying', 'road', 'italy', 'one', 'carrying', 'risk', 'infection']"
Coronavirus fear in Germany results in large crowds outside a supermarket. People pushing each other to get into store first to get necessary supplies.,Misleading,https://www.poynter.org/?ifcn_misinformation=coronavirus-fear-in-germany-results-in-large-crowds-outside-a-supermarket-people-pushing-each-other-to-get-into-store-first-to-get-necessary-supplies,"['result', 'peopl', 'suppli', 'germany', 'supermarket', 'pushing', 'get', 'store', 'get']"
On March 22nd Coronavirus ‘contagion rate’ decreased ‘for two consecutive days’.,FALSE,https://www.poynter.org/?ifcn_misinformation=on-march-22nd-coronavirus-contagion-rate-decreased-for-two-consecutive-days,"['day', 'march', 'contagion', 'rate', 'decreased']"
"Purported advisories urging residents to stay indoors while national air force helicopters spray disinfectant over homes to kill off the novel coronavirus, COVID-19, have been circulated online in Sri Lanka and the Philippines.",FALSE,https://www.poynter.org/?ifcn_misinformation=purported-advisories-urging-residents-to-stay-indoors-while-national-air-force-helicopters-spray-disinfectant-over-homes-to-kill-off-the-novel-coronavirus-covid-19-have-been-circulated-online-in-sri,"['advisori', 'resid', 'indoor', 'helicopt', 'home', 'philippin', 'purported', 'urging', 'air', 'force', 'circulated', 'online', 'sri', 'lanka']"
ONU to provide food voucher for coronavirus quarantine.,FALSE,https://www.poynter.org/?ifcn_misinformation=onu-to-provide-food-voucher-for-coronavirus-quarantine,"['onu', 'food', 'voucher', 'quarantine']"
"According to a report by the WHO, coronavirus lives the longest in the cabbage layer. In the rest of the place the virus is staying for 9-12 hours, whereas in cabbage, this virus is staying for more than 30 hours. People of all cities are requested not to eat cabbage.",FALSE,https://www.poynter.org/?ifcn_misinformation=according-to-a-report-by-the-who-coronavirus-lives-the-longest-in-the-cabbage-layer-in-the-rest-of-the-place-the-virus-is-staying-for-9-12-hours-whereas-in-cabbage-this-virus-is-staying-for-more-t,"['hour', 'hour', 'citi', 'according', 'report', 'cabbage', 'layer', 'place', 'virus', 'staying', 'cabbage', 'virus', 'staying', 'requested', 'eat', 'cabbage', 'life']"
"A purported news report has been shared on multiple Facebook pages which claims that Philippine President Rodrigo Duterte approved the release of P20,000 (USD $400) to all recipients of the Philippines’ Social Security System (SSS) to help them through the novel coronavirus pandemic.",FALSE,https://www.poynter.org/?ifcn_misinformation=a-purported-news-report-has-been-shared-on-multiple-facebook-pages-which-claims-that-philippine-president-rodrigo-duterte-approved-the-release-of-p20000-usd-400-to-all-recipients-of-the-philippine,"['page', 'recipi', 'philippin', 'news', 'report', 'shared', 'facebook', 'philippine', 'president', 'rodrigo', 'duterte', 'approved', 'release', 'usd', 'security', 'system', 'sss', 'help', 'novel', 'pandemic']"
Globe Telecom is giving every subscriber free mobile load worth P500 as help or donation amid the coronavirus crisis.,FALSE,https://www.poynter.org/?ifcn_misinformation=globe-telecom-is-giving-every-subscriber-free-mobile-load-worth-p500-as-help-or-donation-amid-the-coronavirus-crisis,"['globe', 'telecom', 'giving', 'subscriber', 'load', 'worth', 'p500', 'help', 'donation', 'crisis']"
President of Italy crying because of coronavirus pandemic.,FALSE,https://www.poynter.org/?ifcn_misinformation=president-of-italy-crying-because-of-coronavirus-pandemic,"['president', 'italy', 'crying']"
Hot water gargle can prevent coronavirus.,Misleading,https://www.poynter.org/?ifcn_misinformation=hot-water-gargle-can-prevent-coronavirus,"['hot', 'water', 'gargle', 'prevent']"
Paraguayans should not go out “even to buy bread” because the incubation period is up and positive cases of coronavirus will raise.,FALSE,https://www.poynter.org/?ifcn_misinformation=paraguayans-should-not-go-out-even-to-buy-bread-because-the-incubation-period-is-up-and-positive-cases-of-coronavirus-will-raise,"['paraguayan', 'case', 'incubation', 'period']"
"Hair drier can kill the coronavirusus in your nose, Iranian artist Golshifteh Farahani says.",FALSE,https://www.poynter.org/?ifcn_misinformation=hair-drier-can-kill-the-coronavirusus-in-your-nose-iranian-artist-golshifteh-farahani-says,"['hair', 'drier', 'kill', 'coronavirusus', 'artist', 'golshifteh', 'farahani', 'say']"
Stopping breath for ten seconds is a way to test if a person has coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=stopping-breath-for-ten-seconds-is-a-way-to-test-if-a-person-has-coronavirus,"['ten', 'stopping', 'breath', 'way', 'test', 'person', 'second']"
Tea can cure coronavirus.,MISLEADING,https://www.poynter.org/?ifcn_misinformation=tea-can-cure-coronavirus,"['tea', 'cure']"
CDC said that the coronavirus survived 17 days on the surface of a cruise ship.,FALSE,https://www.poynter.org/?ifcn_misinformation=cdc-said-that-the-coronavirus-survived-17-days-on-the-surface-of-a-cruise-ship,"['day', 'cdc', 'said', 'survived', 'cruise', 'ship']"
An audio message lists five ways people can prevent the novel coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=an-audio-message-lists-five-ways-people-can-prevent-the-novel-coronavirus,"['way', 'peopl', 'list']"
“People´s scientist” found that coronavirus is a bioweapon mixing Sars and HIV.,FALSE,https://www.poynter.org/?ifcn_misinformation=peoples-scientist-found-that-coronavirus-is-a-bioweapon-mixing-sars-and-hiv,"['scientist', 'found', 'mixing', 'sars', 'hiv']"
"A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book. The viral forward reads, “It is not a new disease as it is already mentioned in the Intermediate zoology book along with its treatment. It happens sometimes that many great scientists and doctors do not focus on lesser-known books as they are mostly busy with famous books. Book name: Zoology, Writer: Dr. Ramesh Gupta, Page No. 1072.) Friends, this is not fake news so I request you to kindly share it maximum so all coronavirus patients are treated in time.”",Misleading/False,https://www.poynter.org/?ifcn_misinformation=a-whatsapp-forward-has-gone-viral-which-claimed-that-a-vaccine-for-coronavirus-has-been-discovered-the-viral-forward-also-claims-that-the-treatment-for-coronavirus-is-mentioned-in-indias-intermediat,"['scientist', 'doctor', 'book', 'book', 'patient', 'forward', 'gone', 'vaccine', 'discovered', 'forward', 'treatment', 'mentioned', 'india', 'intermediate', 'zoology', 'book', 'forward', 'disease', 'mentioned', 'intermediate', 'zoology', 'book', 'treatment', 'book', 'name', 'zoology', 'writer', 'ramesh', 'gupta', 'page', 'friends', 'news', 'share', 'treated', 'time', 'read', 'happens']"
Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.,FALSE,https://www.poynter.org/?ifcn_misinformation=russia-has-unleashed-over-500-lions-to-ensure-that-people-stay-inside-their-homes-amid-the-coronavirus-outbreak,"['lion', 'peopl', 'home', 'russia', 'unleashed', 'ensure', 'stay']"
"Footage purportedly showing a looting spree in Mexico prompted by panic over the novel coronavirus was aired on multiple Facebook live streams and viewed by tens of thousands of people during the week of March 23, 2020. Posts sharing the streams claimed that the chaotic scene was happening in real-time.",FALSE,https://www.poynter.org/?ifcn_misinformation=footage-purportedly-showing-a-looting-spree-in-mexico-prompted-by-panic-over-the-novel-coronavirus-was-aired-on-multiple-facebook-live-streams-and-viewed-by-tens-of-thousands-of-people-during-the-week,"['stream', 'ten', 'thousand', 'peopl', 'stream', 'footage', 'showing', 'looting', 'mexico', 'prompted', 'novel', 'aired', 'facebook', 'viewed', 'week', 'march', 'sharing', 'claimed', 'scene', 'happening']"
Says “special military helicopters will spray pesticide against the Corona virus in the skies all over the country.”,FALSE,https://www.poynter.org/?ifcn_misinformation=says-special-military-helicopters-will-spray-pesticide-against-the-corona-virus-in-the-skies-all-over-the-country,"['helicopt', 'sky', 'pesticide', 'virus', 'country', 'says']"
Italy’s Prime Minister Giuseppe Conte broke down publicly due to the ongoing coronavirus pandemic.,FALSE,https://www.poynter.org/?ifcn_misinformation=italys-prime-minister-giuseppe-conte-broke-down-publicly-due-to-the-ongoing-coronavirus-pandemic,"['italy', 'prime', 'minister', 'giuseppe', 'conte', 'broke', 'ongoing']"
A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book.,Misleading/False,https://www.poynter.org/?ifcn_misinformation=a-whatsapp-forward-has-gone-viral-which-claimed-that-a-vaccine-for-coronavirus-has-been-discovered-the-viral-forward-also-claims-that-the-treatment-for-coronavirus-is-mentioned-in-indias-intermediat-2,"['forward', 'gone', 'vaccine', 'discovered', 'forward', 'treatment', 'mentioned', 'india', 'intermediate', 'zoology', 'book']"
