News,Tag,NewsLink
Chinese Government Accuses Indonesia of Spreading Corona Covid-19 Virus,Misleading,https://www.poynter.org/?ifcn_misinformation=chinese-government-accuses-indonesia-of-spreading-corona-covid-19-virus
Doctor Li Wenliang and Hospital in China Suggest Drinking Tea for Corona Patients,FALSE,https://www.poynter.org/?ifcn_misinformation=doctor-li-wenliang-and-hospital-in-china-suggest-drinking-tea-for-corona-patients
"Finally India got its Coronavirus Dashboard. This is the official website for CORONA updates. This website is being updated every 4 hrs. You can scroll down for more details, you can know more about coronavirus outbreak in your state by placing your finger on your state on the map.",FALSE,https://www.poynter.org/?ifcn_misinformation=finally-india-got-its-coronavirus-dashboard-this-is-the-official-website-for-corona-updates-this-website-is-being-updated-every-4-hrs-you-can-scroll-down-for-more-details-you-can-know-more-about-c
A letter supposedly written by Bill Gates where he says that the coronavirus is the corrector of humanity.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-letter-supposedly-written-by-bill-gates-where-he-says-that-the-coronavirus-is-the-corrector-of-humanity
"First death from coronavirus in Barranquilla, Columbia.",FALSE,https://www.poynter.org/?ifcn_misinformation=first-death-from-coronavirus-in-barranquilla-columbia
An Indian politician claimed that the strain of coronavirus in India is less virulent mutation.,MISLEADING,https://www.poynter.org/?ifcn_misinformation=an-indian-politician-claimed-that-the-strain-of-coronavirus-in-india-is-less-virulent-mutation
A vaccine for coronavirus has been found.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-vaccine-for-coronavirus-has-been-found
You can get coronavirus from makeup and creams.,FALSE,https://www.poynter.org/?ifcn_misinformation=you-can-get-coronavirus-from-makeup-and-creams
Coronavirus remains on the asphalt for 9 days.,FALSE,https://www.poynter.org/?ifcn_misinformation=coronavirus-remains-on-the-asphalt-for-9-days
Cigarette smoke spreads coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=cigarette-smoke-spreads-coronavirus
Says to leave objects in the sun to avoid contracting the coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=says-to-leave-objects-in-the-sun-to-avoid-contracting-the-coronavirus
Mosquitoes can spread the coronavirus?,FALSE,https://www.poynter.org/?ifcn_misinformation=mosquitoes-can-spread-the-coronavirus
An image of a couple who are claimed to be doctors and have lost their lives due to Coronavirus,FALSE,https://www.poynter.org/?ifcn_misinformation=an-image-of-a-couple-who-are-claimed-to-be-doctors-and-have-lost-their-lives-due-to-coronavirus
Countries that use nivaquine (chloroquine) against malaria are not affected by coronavirus.,MOSTLY FALSE,https://www.poynter.org/?ifcn_misinformation=countries-that-use-nivaquine-chloroquine-against-malaria-are-not-affected-by-coronavirus
The UN is providing food aid to South American countries due to the coronavirus pandemic.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-un-is-providing-food-aid-to-south-american-countries-due-to-the-coronavirus-pandemic
Chlorine dioxide cures the coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=chlorine-dioxide-cures-the-coronavirus
Prime Minister of Mexico with tears in his eyes says to all the people: We have lost the battle against the coronavirus.,partially false,https://www.poynter.org/?ifcn_misinformation=prime-minister-of-mexico-with-tears-in-his-eyes-says-to-all-the-people-we-have-lost-the-battle-against-the-coronavirus
Paraguay’s Ministry of Health is not following up people who are related to confirmed cases of coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=paraguays-ministry-of-health-is-not-following-up-people-who-are-related-to-confirmed-cases-of-coronavirus
Indian Singer Kanika Kapoor met Prince Charles after which he tested positive for coronavirus.,False,https://www.poynter.org/?ifcn_misinformation=indian-singer-kanika-kapoor-met-prince-charles-after-which-he-tested-positive-for-coronavirus
Italian doctor couple disgnosed with coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=italian-doctor-couple-disgnosed-with-coronavirus
An audio that states that the worst coronavirus crisis in Spain will start on Sunday March 29.,Explanatory,https://www.poynter.org/?ifcn_misinformation=an-audio-that-states-that-the-worst-coronavirus-crisis-in-spain-will-start-on-sunday-march-29
New vaccine can help cure coronavirus in three hours.,FALSE,https://www.poynter.org/?ifcn_misinformation=new-vaccine-can-help-cure-coronavirus-in-three-hours
"A video has been shared thousands of times in multiple posts on Facebook which claim it shows a woman who was detained by police in Australia after she tested positive for the novel coronavirus, COVID-19, and was filmed spitting at a supermarket in a Sydney suburb.",FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-has-been-shared-thousands-of-times-in-multiple-posts-on-facebook-which-claim-it-shows-a-woman-who-was-detained-by-police-in-australia-after-she-tested-positive-for-the-novel-coronavirus-covid
France found a vaccine against coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=france-found-a-vaccine-against-coronavirus
"Pakistani doctor, Usman Riaz speaks about coronavirus before his death.",FALSE,https://www.poynter.org/?ifcn_misinformation=pakistani-doctor-usman-riaz-speaks-about-coronavirus-before-his-death
A screenshot of a purported news broadcast showing a lion in the street and reporting that Russia has deployed hundreds of lions to maintain order during the novel coronavirus lockdown has been shared tens of thousands of times on Facebook and Twitter.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-screenshot-of-a-purported-news-broadcast-showing-a-lion-in-the-street-and-reporting-that-russia-has-deployed-hundreds-of-lions-to-maintain-order-during-the-novel-coronavirus-lockdown-has-been-shared
Gargling with hot water cures Coronavirus says a doctor from Mumbai’s COVID-19 hospital.,FALSE,https://www.poynter.org/?ifcn_misinformation=gargling-with-hot-water-cures-coronavirus-says-a-doctor-from-mumbais-covid-19-hospital
"An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",FALSE,https://www.poynter.org/?ifcn_misinformation=an-image-is-being-shared-on-social-media-claiming-this-italian-doctor-couple-in-the-picture-worked-day-and-night-and-saved-the-lives-of-134-patients-but-on-the-eighth-day-they-caught-coronavirus-an
A video allegedly showing Canadian Prime Minister Justin Trudeau’s wife in a hospital bed urging people to stay home to avoid ending up seriously ill with the novel coronavirus has been shared thousands of times on Facebook and Twitter.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-allegedly-showing-canadian-prime-minister-justin-trudeaus-wife-in-a-hospital-bed-urging-people-to-stay-home-to-avoid-ending-up-seriously-ill-with-the-novel-coronavirus-has-been-shared
There is no ‘coronavirus’. The Chinese were secretly working on a biological agent that was supposed to make protesters docile and obedient.,FALSE,https://www.poynter.org/?ifcn_misinformation=there-is-no-coronavirus-the-chinese-were-secretly-working-on-a-biological-agent-that-was-supposed-to-make-protesters-docile-and-obedient
"Tens of thousands of people who are victims of the coronavirus have died in China, and this is proven by maps of Wuhan released online that show a massive burning of corpses.",FALSE,https://www.poynter.org/?ifcn_misinformation=tens-of-thousands-of-people-who-are-victims-of-the-coronavirus-have-died-in-china-and-this-is-proven-by-maps-of-wuhan-released-online-that-show-a-massive-burning-of-corpses
Hospitals in Madrid are removing artificial respirators from those admitted with coronaviruses older than 65 years for use by younger patients.,FALSE,https://www.poynter.org/?ifcn_misinformation=hospitals-in-madrid-are-removing-artificial-respirators-from-those-admitted-with-coronaviruses-older-than-65-years-for-use-by-younger-patients
Peeled Onions Can Suck Corona Virus,FALSE,https://www.poynter.org/?ifcn_misinformation=peeled-onions-can-suck-corona-virus
Videos of Passenger Plane from Italy to Ethiopia which are All Positive Corona,Misleading,https://www.poynter.org/?ifcn_misinformation=videos-of-passenger-plane-from-italy-to-ethiopia-which-are-all-positive-corona
Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.,MOSTLY TRUE,https://www.poynter.org/?ifcn_misinformation=says-nancy-pelosis-coronavirus-bill-includes-tax-credits-for-solar-and-wind-energy-retirement-plans-for-community-newspaper-employees-300-million-for-pbs
The bodies of people infected with coronavirus are lying on the road of Italy. No one is carrying them due to the risk of infection.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-bodies-of-people-infected-with-coronavirus-are-lying-on-the-road-of-italy-no-one-is-carrying-them-due-to-the-risk-of-infection
Coronavirus fear in Germany results in large crowds outside a supermarket. People pushing each other to get into store first to get necessary supplies.,Misleading,https://www.poynter.org/?ifcn_misinformation=coronavirus-fear-in-germany-results-in-large-crowds-outside-a-supermarket-people-pushing-each-other-to-get-into-store-first-to-get-necessary-supplies
On March 22nd Coronavirus ‘contagion rate’ decreased ‘for two consecutive days’.,FALSE,https://www.poynter.org/?ifcn_misinformation=on-march-22nd-coronavirus-contagion-rate-decreased-for-two-consecutive-days
"Purported advisories urging residents to stay indoors while national air force helicopters spray disinfectant over homes to kill off the novel coronavirus, COVID-19, have been circulated online in Sri Lanka and the Philippines.",FALSE,https://www.poynter.org/?ifcn_misinformation=purported-advisories-urging-residents-to-stay-indoors-while-national-air-force-helicopters-spray-disinfectant-over-homes-to-kill-off-the-novel-coronavirus-covid-19-have-been-circulated-online-in-sri
ONU to provide food voucher for coronavirus quarantine.,FALSE,https://www.poynter.org/?ifcn_misinformation=onu-to-provide-food-voucher-for-coronavirus-quarantine
"According to a report by the WHO, coronavirus lives the longest in the cabbage layer. In the rest of the place the virus is staying for 9-12 hours, whereas in cabbage, this virus is staying for more than 30 hours. People of all cities are requested not to eat cabbage.",FALSE,https://www.poynter.org/?ifcn_misinformation=according-to-a-report-by-the-who-coronavirus-lives-the-longest-in-the-cabbage-layer-in-the-rest-of-the-place-the-virus-is-staying-for-9-12-hours-whereas-in-cabbage-this-virus-is-staying-for-more-t
"A purported news report has been shared on multiple Facebook pages which claims that Philippine President Rodrigo Duterte approved the release of P20,000 (USD $400) to all recipients of the Philippines’ Social Security System (SSS) to help them through the novel coronavirus pandemic.",FALSE,https://www.poynter.org/?ifcn_misinformation=a-purported-news-report-has-been-shared-on-multiple-facebook-pages-which-claims-that-philippine-president-rodrigo-duterte-approved-the-release-of-p20000-usd-400-to-all-recipients-of-the-philippine
Globe Telecom is giving every subscriber free mobile load worth P500 as help or donation amid the coronavirus crisis.,FALSE,https://www.poynter.org/?ifcn_misinformation=globe-telecom-is-giving-every-subscriber-free-mobile-load-worth-p500-as-help-or-donation-amid-the-coronavirus-crisis
President of Italy crying because of coronavirus pandemic.,FALSE,https://www.poynter.org/?ifcn_misinformation=president-of-italy-crying-because-of-coronavirus-pandemic
Hot water gargle can prevent coronavirus.,Misleading,https://www.poynter.org/?ifcn_misinformation=hot-water-gargle-can-prevent-coronavirus
Paraguayans should not go out “even to buy bread” because the incubation period is up and positive cases of coronavirus will raise.,FALSE,https://www.poynter.org/?ifcn_misinformation=paraguayans-should-not-go-out-even-to-buy-bread-because-the-incubation-period-is-up-and-positive-cases-of-coronavirus-will-raise
"Hair drier can kill the coronavirusus in your nose, Iranian artist Golshifteh Farahani says.",FALSE,https://www.poynter.org/?ifcn_misinformation=hair-drier-can-kill-the-coronavirusus-in-your-nose-iranian-artist-golshifteh-farahani-says
Stopping breath for ten seconds is a way to test if a person has coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=stopping-breath-for-ten-seconds-is-a-way-to-test-if-a-person-has-coronavirus
Tea can cure coronavirus.,MISLEADING,https://www.poynter.org/?ifcn_misinformation=tea-can-cure-coronavirus
CDC said that the coronavirus survived 17 days on the surface of a cruise ship.,FALSE,https://www.poynter.org/?ifcn_misinformation=cdc-said-that-the-coronavirus-survived-17-days-on-the-surface-of-a-cruise-ship
An audio message lists five ways people can prevent the novel coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=an-audio-message-lists-five-ways-people-can-prevent-the-novel-coronavirus
“People´s scientist” found that coronavirus is a bioweapon mixing Sars and HIV.,FALSE,https://www.poynter.org/?ifcn_misinformation=peoples-scientist-found-that-coronavirus-is-a-bioweapon-mixing-sars-and-hiv
"A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book. The viral forward reads, “It is not a new disease as it is already mentioned in the Intermediate zoology book along with its treatment. It happens sometimes that many great scientists and doctors do not focus on lesser-known books as they are mostly busy with famous books. Book name: Zoology, Writer: Dr. Ramesh Gupta, Page No. 1072.) Friends, this is not fake news so I request you to kindly share it maximum so all coronavirus patients are treated in time.”",Misleading/False,https://www.poynter.org/?ifcn_misinformation=a-whatsapp-forward-has-gone-viral-which-claimed-that-a-vaccine-for-coronavirus-has-been-discovered-the-viral-forward-also-claims-that-the-treatment-for-coronavirus-is-mentioned-in-indias-intermediat
Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.,FALSE,https://www.poynter.org/?ifcn_misinformation=russia-has-unleashed-over-500-lions-to-ensure-that-people-stay-inside-their-homes-amid-the-coronavirus-outbreak
"Footage purportedly showing a looting spree in Mexico prompted by panic over the novel coronavirus was aired on multiple Facebook live streams and viewed by tens of thousands of people during the week of March 23, 2020. Posts sharing the streams claimed that the chaotic scene was happening in real-time.",FALSE,https://www.poynter.org/?ifcn_misinformation=footage-purportedly-showing-a-looting-spree-in-mexico-prompted-by-panic-over-the-novel-coronavirus-was-aired-on-multiple-facebook-live-streams-and-viewed-by-tens-of-thousands-of-people-during-the-week
Says “special military helicopters will spray pesticide against the Corona virus in the skies all over the country.”,FALSE,https://www.poynter.org/?ifcn_misinformation=says-special-military-helicopters-will-spray-pesticide-against-the-corona-virus-in-the-skies-all-over-the-country
Italy’s Prime Minister Giuseppe Conte broke down publicly due to the ongoing coronavirus pandemic.,FALSE,https://www.poynter.org/?ifcn_misinformation=italys-prime-minister-giuseppe-conte-broke-down-publicly-due-to-the-ongoing-coronavirus-pandemic
A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book.,Misleading/False,https://www.poynter.org/?ifcn_misinformation=a-whatsapp-forward-has-gone-viral-which-claimed-that-a-vaccine-for-coronavirus-has-been-discovered-the-viral-forward-also-claims-that-the-treatment-for-coronavirus-is-mentioned-in-indias-intermediat-2
Italy registered 4200 new recovering cases from coronavirus in 24h.,FALSE,https://www.poynter.org/?ifcn_misinformation=italy-registered-4200-new-recovering-cases-from-coronavirus-in-24h
Photographs shared hundreds of times online purport to show the coffins of Italian victims of the novel coronavirus pandemic.,FALSE,https://www.poynter.org/?ifcn_misinformation=photographs-shared-hundreds-of-times-online-purport-to-show-the-coffins-of-italian-victims-of-the-novel-coronavirus-pandemic
Coronavirus will be cured within 2 hours by drinking bitter gourd juice.,FALSE,https://www.poynter.org/?ifcn_misinformation=coronavirus-will-be-cured-within-2-hours-by-drinking-bitter-gourd-juice
“Slices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation of” the novel coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=slices-of-lemon-in-a-cup-of-hot-water-can-save-your-life-the-hot-lemon-can-kill-the-proliferation-of-the-novel-coronavirus
Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days.,FALSE,https://www.poynter.org/?ifcn_misinformation=says-the-cdc-now-says-that-the-coronavirus-can-survive-on-surfaces-for-up-to-17-days
Netflix gives away free accounts during coronavirus quarantine.,FALSE,https://www.poynter.org/?ifcn_misinformation=netflix-gives-away-free-accounts-during-coronavirus-quarantine
Inhaling Water Into The Nose Can Prevent Corona Transmission,FALSE,https://www.poynter.org/?ifcn_misinformation=inhaling-water-into-the-nose-can-prevent-corona-transmission
"A video of former Iraqi dictator Saddam Hussein has been shared repeatedly on Facebook, Twitter and Instagram alongside a claim it shows him stating the US threatened to spread the novel coronavirus, COVID-19, in Iraq during a meeting in the 1990s.",FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-of-former-iraqi-dictator-saddam-hussein-has-been-shared-repeatedly-on-facebook-twitter-and-instagram-alongside-a-claim-it-shows-him-stating-the-us-threatened-to-spread-the-novel-coronavirus
WHO Call Ibuprofen Drugs Can Make Corona Live Longer,FALSE,https://www.poynter.org/?ifcn_misinformation=who-call-ibuprofen-drugs-can-make-corona-live-longer
"Picture of “baile funk” (a type of Brazilian popular party) in São Paulo during the coronavirus, despite restrictions of mass gatherings due to the COVID-19.",FALSE,https://www.poynter.org/?ifcn_misinformation=picture-of-baile-funk-a-type-of-brazilian-popular-party-in-sao-paulo-during-the-coronavirus-despite-restrictions-of-mass-gatherings-due-to-the-covid-19
Russian President Vladimir Putin releases 800 tigers and 500 lions amid the coronavirus outbreak to keep people at home.,FALSE,https://www.poynter.org/?ifcn_misinformation=russian-president-vladimir-putin-releases-800-tigers-and-500-lions-amid-the-coronavirus-outbreak-to-keep-people-at-home
Study suggests Malaria drug can treat coronavirus.,Unproven,https://www.poynter.org/?ifcn_misinformation=study-suggests-malaria-drug-can-treat-coronavirus
"A lengthy text post has been shared hundreds of times on Facebook which purportedly contains advice on how to prevent infection from the novel coronavirus, COVID-19. The post claims the advice was issued by a UK hospital to its medical staff.",FALSE,https://www.poynter.org/?ifcn_misinformation=a-lengthy-text-post-has-been-shared-hundreds-of-times-on-facebook-which-purportedly-contains-advice-on-how-to-prevent-infection-from-the-novel-coronavirus-covid-19-the-post-claims-the-advice-was-iss
Italian Prime Minister Giuseppe Conte was quoted in various posts and graphics on Facebook as saying they have “lost control” of the coronavirus pandemic that is greatly affecting Italy.,FALSE,https://www.poynter.org/?ifcn_misinformation=italian-prime-minister-giuseppe-conte-was-quoted-in-various-posts-and-graphics-on-facebook-as-saying-they-have-lost-control-of-the-coronavirus-pandemic-that-is-greatly-affecting-italy
Coronavirus has gripped Italy with nobody willing to carry corpses off Italy’s streets.,FALSE,https://www.poynter.org/?ifcn_misinformation=coronavirus-has-gripped-italy-with-nobody-willing-to-carry-corpses-off-italys-streets
Helicopters Are Spraying Disinfectants To Try To Eradicate coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=helicopters-are-spraying-disinfectants-to-try-to-eradicate-coronavirus
Celebrities spreading misinformation about coronavirus and the Janata curfew in India.,FALSE,https://www.poynter.org/?ifcn_misinformation=celebrities-spreading-misinformation-about-coronavirus-and-the-janata-curfew-in-india
Aspirating boiling water vapor for five minutes desactivates the coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=aspirating-boiling-water-vapor-for-five-minutes-desactivates-the-coronavirus
"An image has been shared thousands of times in multiple posts on Facebook alongside a claim that it shows a medicine created by US scientists that can cure the novel coronavirus, COVID-19.",FALSE,https://www.poynter.org/?ifcn_misinformation=an-image-has-been-shared-thousands-of-times-in-multiple-posts-on-facebook-alongside-a-claim-that-it-shows-a-medicine-created-by-us-scientists-that-can-cure-the-novel-coronavirus-covid-19
Belgium Health Minister has banned group sex due to coronavirus outbreak associated with orgy.,FALSE,https://www.poynter.org/?ifcn_misinformation=belgium-health-minister-has-banned-group-sex-due-to-coronavirus-outbreak-associated-with-orgy
A viral WhatsApp voice note in Nigeria claims that the coronavirus could kill up to 45 million Nigerians.,misleading,https://www.poynter.org/?ifcn_misinformation=a-viral-whatsapp-voice-note-in-nigeria-claims-that-the-coronavirus-could-kill-up-to-45-million-nigerians
Poison Spray for Corona from Malaysia and Singapore by Air?,FALSE,https://www.poynter.org/?ifcn_misinformation=poison-spray-for-corona-from-malaysia-and-singapore-by-air
"DRC president, Felix Tshisekedi, has suspended the payment of rents and water and electricity bills because of coronavirus.",FALSE,https://www.poynter.org/?ifcn_misinformation=drc-president-felix-tshisekedi-has-suspended-the-payment-of-rents-and-water-and-electricity-bills-because-of-coronavirus
Five helicopters will desinfect the Netherlands to extinguish the coronavirus. Citizens have to stay inside.,FALSE,https://www.poynter.org/?ifcn_misinformation=five-helicopters-will-desinfect-the-netherlands-to-extinguish-the-coronavirus-citizens-have-to-stay-inside
A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in an Intermediate Zoology book.,Misleading,https://www.poynter.org/?ifcn_misinformation=a-whatsapp-forward-has-gone-viral-which-claimed-that-a-vaccine-for-coronavirus-has-been-discovered-the-viral-forward-also-claims-that-the-treatment-for-coronavirus-is-mentioned-in-an-intermediate-zoo
A recent video of Coronavirus patients at an airport in China and gauge how serious the situation is.,Misleading,https://www.poynter.org/?ifcn_misinformation=a-recent-video-of-coronavirus-patients-at-an-airport-in-china-and-gauge-how-serious-the-situation-is
Science Minister Pedro Duque was hospitalized due to coronavirus in Denia,FALSE,https://www.poynter.org/?ifcn_misinformation=science-minister-pedro-duque-was-hospitalized-due-to-coronavirus-in-denia
